epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,144.476,1.52727,2.62823,1.99548,0.0323,2.05511,0.47044,0.40249,0.38527,0.15112,0.69325,0.15556,0.17889,0.06271,2.82466,4.5996,2.8101,0.11442,0,0.000938772,0.000938772,0.000938772
50,146.938,1.58777,2.81762,1.98431,0.03422,2.37441,0.40511,0.41111,0.34483,0.12815,0.3258,0.21111,0.18086,0.07506,2.64016,4.50486,3.18999,0.10942,0,0.000936251,0.000936251,0.000936251
51,149.412,1.66976,2.85862,1.80864,0.0355,1.77419,0.63028,0.31111,0.30446,0.12715,0.4856,0.21111,0.19388,0.06895,2.54076,4.19807,3.41777,0.10492,0,0.000933683,0.000933683,0.000933683
52,152.007,1.67968,2.9413,1.68702,0.03991,2.07621,0.82748,0.209,0.24163,0.08174,0.82748,0.209,0.21285,0.06615,2.67462,3.95824,3.44068,0.10886,0,0.000931067,0.000931067,0.000931067
53,154.464,1.52851,2.909,1.75368,0.03269,2.21594,0.5018,0.21111,0.25264,0.09123,0.5018,0.21111,0.21329,0.06777,2.66769,4.01199,3.39552,0.10882,0,0.000928405,0.000928405,0.000928405
54,157.008,1.5774,2.58168,1.76292,0.03395,1.66774,0.79563,0.16667,0.22604,0.08033,0.96967,0.11111,0.13018,0.05787,2.48994,3.90559,3.05367,0.10338,0,0.000925697,0.000925697,0.000925697
55,159.429,1.4245,2.73204,1.47122,0.02949,1.65636,0.73091,0.22222,0.23763,0.10013,0.83166,0.11,0.11575,0.04084,2.1687,3.81037,3.09816,0.09061,0,0.000922942,0.000922942,0.000922942
56,162,1.65351,2.56967,1.56333,0.03467,1.58379,0.45054,0.36667,0.30326,0.1064,0.16483,0.16421,0.08696,0.023,2.45441,3.85008,2.53324,0.10249,0,0.000920142,0.000920142,0.000920142
57,164.455,1.60877,3.01758,1.63132,0.03685,2.06747,0.44619,0.25556,0.29287,0.10394,0.13301,0.11111,0.07945,0.02036,2.38805,3.89458,2.91266,0.09757,0,0.000917296,0.000917296,0.000917296
58,167.012,1.6024,2.63505,1.61368,0.03292,1.68604,0.39357,0.59287,0.31321,0.08873,0.16611,0.11111,0.08046,0.02391,2.35932,4.04277,3.03034,0.09465,0,0.000914405,0.000914405,0.000914405
59,169.537,1.65585,2.82318,1.65289,0.03389,1.86291,0.40154,0.52222,0.26437,0.10536,0.13504,0.11111,0.06557,0.02077,2.08543,4.04766,3.35233,0.08112,0,0.000911469,0.000911469,0.000911469
60,172.043,1.49429,2.50959,1.80099,0.03076,1.84278,0.36482,0.42222,0.23483,0.10334,0.24672,0.11111,0.09687,0.0422,1.94145,4.37533,3.20498,0.07942,0,0.000908488,0.000908488,0.000908488
61,174.556,1.83054,2.96253,1.81622,0.04607,2.30902,0.64586,0.52222,0.37188,0.13238,0.35791,0.16667,0.14375,0.03414,1.92161,4.38084,3.04972,0.08132,0,0.000905463,0.000905463,0.000905463
62,177.008,1.70343,2.68101,1.83895,0.03444,1.90922,0.62544,0.51049,0.35407,0.1375,0.36137,0.16667,0.15776,0.05721,1.92902,4.31551,3.14277,0.07791,0,0.000902395,0.000902395,0.000902395
63,179.478,1.44107,2.5547,1.61681,0.0322,1.83024,0.69049,0.44636,0.4495,0.20942,0.45884,0.11111,0.15095,0.05713,2.0759,4.3188,2.74725,0.08222,0,0.000899282,0.000899282,0.000899282
64,182.105,1.49979,2.39336,1.43539,0.03381,1.57848,0.59555,0.46667,0.44404,0.17673,0.45948,0.11111,0.12148,0.05493,2.47011,4.32489,2.60403,0.09761,0,0.000896127,0.000896127,0.000896127
65,184.494,1.623,2.65772,1.63436,0.03644,1.69098,0.58567,0.4483,0.42176,0.16186,0.20742,0.21111,0.13505,0.04982,1.94187,4.39491,2.78617,0.07868,0,0.000892928,0.000892928,0.000892928
66,186.975,1.53338,2.65331,1.7001,0.03123,1.55922,0.37715,0.31111,0.29359,0.1693,0.43386,0.05556,0.07014,0.03858,1.87459,4.27551,2.84579,0.08139,0,0.000889687,0.000889687,0.000889687
67,189.398,1.62748,2.66316,1.69513,0.03338,1.66247,0.26982,0.31111,0.32206,0.16855,0.21946,0.05556,0.07746,0.04042,1.90431,4.18036,2.9323,0.07974,0,0.000886404,0.000886404,0.000886404
68,191.948,1.51993,2.50812,1.51946,0.03707,1.5535,0.38531,0.31486,0.31079,0.13273,0.15771,0.10365,0.08168,0.04838,2.31177,4.03402,3.30586,0.09606,0,0.000883079,0.000883079,0.000883079
69,194.352,1.51396,2.71505,1.62364,0.03042,1.51511,0.3184,0.32259,0.28359,0.12443,0.10403,0.08936,0.09277,0.04911,2.33894,3.94277,3.38754,0.09521,0,0.000879713,0.000879713,0.000879713
70,196.885,1.37329,2.77221,1.45027,0.02766,1.4197,0.58595,0.15556,0.22333,0.11251,0.15092,0.15556,0.1126,0.0499,2.21426,3.91665,3.58261,0.09066,0,0.000876305,0.000876305,0.000876305
71,199.32,1.50828,2.5771,1.79351,0.03255,1.87128,0.65753,0.15556,0.21974,0.1306,0.65753,0.15556,0.18417,0.05532,2.25321,3.96785,3.42397,0.09104,0,0.000872857,0.000872857,0.000872857
72,202.613,1.63446,2.49749,1.40952,0.03165,1.47821,0.60305,0.15556,0.22863,0.11832,0.13907,0.21111,0.11613,0.04807,2.52752,4.04805,2.80046,0.09919,0,0.000869368,0.000869368,0.000869368
73,205.014,1.71486,2.73341,1.71652,0.03704,1.96143,0.39453,0.26667,0.33803,0.14301,0.993,0.11111,0.13098,0.05368,2.48241,4.32483,2.54123,0.09566,0,0.000865839,0.000865839,0.000865839
74,207.448,1.3498,2.52717,1.33228,0.03126,1.74666,0.50357,0.47778,0.49021,0.15562,0.81694,0.11111,0.10073,0.05449,2.27483,4.26241,2.62523,0.09226,0,0.000862271,0.000862271,0.000862271
75,209.889,1.66128,2.62649,1.62687,0.03327,1.61115,0.40199,0.37778,0.46576,0.12159,0.81298,0.11111,0.0866,0.02071,2.24864,4.29635,2.62618,0.09254,0,0.000858664,0.000858664,0.000858664
76,212.324,1.44573,2.64281,1.52348,0.03234,1.41626,0.55891,0.26667,0.28397,0.119,0.40797,0.21111,0.13761,0.01773,2.20141,4.44368,2.77746,0.08867,0,0.000855018,0.000855018,0.000855018
77,214.836,1.57613,2.86444,1.5851,0.03355,1.65321,0.70393,0.32222,0.37257,0.16308,0.63525,0.26667,0.18413,0.02908,2.36808,4.64298,2.34562,0.09534,0,0.000851333,0.000851333,0.000851333
78,217.341,1.29888,2.29573,1.28664,0.02694,1.37904,0.51918,0.46667,0.38331,0.18714,0.55451,0.26667,0.20132,0.03546,2.36616,5.06579,2.50056,0.09463,0,0.000847611,0.000847611,0.000847611
79,219.735,1.6086,3.06957,1.62712,0.03761,2.1056,0.6933,0.45374,0.41609,0.21406,0.90724,0.15556,0.15786,0.06069,2.32803,5.2377,2.71634,0.09382,0,0.000843851,0.000843851,0.000843851
80,222.322,1.68211,2.76234,1.64285,0.03435,1.7786,0.36651,0.36667,0.30643,0.16182,0.9665,0.05556,0.05849,0.04094,2.76364,5.34207,2.65777,0.11526,0,0.000840054,0.000840054,0.000840054
81,224.709,1.58124,2.69315,1.54332,0.03644,1.70289,0.41843,0.35634,0.26191,0.14905,0.97021,0.05556,0.05862,0.04103,2.68035,5.09841,2.9507,0.11069,0,0.00083622,0.00083622,0.00083622
82,227.224,1.44036,2.62896,1.35731,0.03001,1.44047,0.96321,0.20579,0.29362,0.14773,0.96766,0.05556,0.05877,0.04114,2.78451,4.8573,2.69237,0.11444,0,0.000832349,0.000832349,0.000832349
83,229.636,1.47484,2.75633,1.61481,0.03204,1.60707,0.50539,0.34773,0.30332,0.16824,0.9556,0.05556,0.05893,0.04125,2.50625,4.57615,2.80001,0.10389,0,0.000828443,0.000828443,0.000828443
84,232.241,1.58113,2.4794,1.35757,0.03502,1.35683,0.39486,0.36667,0.37805,0.17778,0.88369,0.15556,0.17116,0.06947,2.30267,4.03797,2.7959,0.09731,0,0.000824502,0.000824502,0.000824502
85,234.691,1.39335,2.24421,1.35582,0.02802,1.76421,0.96556,0.38521,0.53785,0.19903,0.57254,0.15556,0.14144,0.05696,2.24745,3.91171,2.63809,0.09256,0,0.000820525,0.000820525,0.000820525
86,237.167,1.31898,2.50985,1.37312,0.02827,1.51188,0.47493,0.52222,0.45547,0.18076,0.5554,0.15556,0.14324,0.05606,2.13514,3.8138,2.66539,0.08718,0,0.000816514,0.000816514,0.000816514
87,239.607,1.38264,2.73458,1.51326,0.02692,1.54767,0.60322,0.42222,0.46588,0.22118,0.32935,0.15556,0.12641,0.05995,1.98963,3.7277,2.58436,0.08051,0,0.000812468,0.000812468,0.000812468
88,242.282,1.4819,2.60352,1.55062,0.03017,1.76932,0.52155,0.47878,0.46388,0.22953,0.96138,0.05556,0.07248,0.04941,2.17714,3.65456,2.43608,0.08513,0,0.000808389,0.000808389,0.000808389
89,244.676,1.34524,2.43653,1.33196,0.02683,1.30285,0.52502,0.4765,0.44267,0.19736,0.11906,0.11111,0.07741,0.05006,2.22556,3.6554,2.5788,0.08717,0,0.000804277,0.000804277,0.000804277
